"filename","dynamics_rms_Mean","dynamics_rms_Std","dynamics_rms_Slope","dynamics_lowenergy_Mean","rhythm_attack_time_Mean","rhythm_attack_time_Std","rhythm_attack_time_Slope","articulation_eventdensity_Mean","rhythm_fluctuation_peak_PeakMagMean","rhythm_tempo_Mean","rhythm_tempo_Std","rhythm_pulseclarity_Mean","rhythm_pulseclarity_Std","timbre_centroid_Mean","timbre_centroid_Std","timbre_roughness_Mean","timbre_irregularity_Mean","timbre_irregularity_Std","timbre_spectralflux_Std","pitch_salient_Mean","pitch_salient_Std","pitch_chromagram_centroid_Mean","pitch_chromagram_centroid_Std","tonal_keyclarity_Mean","tonal_keyclarity_Std","tonal_mode_Mean","tonal_mode_Std","tonal_hcdf_Mean","tonal_spectentr_Mean","structure_novelty_SPE_Mean","structure_novelty_RHY_Mean","structure_novelty_TON_Mean","structure_novelty_REG_Mean"
"Folk_MED_06.mp3",0.02787,0.012701,0.415974,0.310868,0.03189,0.032899,-0.06118,5.049279,1320.122592,122.915119,27.352373,0.362164,0.063478,1088.653773,386.782771,0.567127,0.52133,0.303923,5.695734,326.015343,182.836406,59.990196,2.237378,0.522116,0.097047,-0.088051,0.083126,0.653477,0.992454,1.049092,1.606946,1.102083,1.20264
"Folk_MED_07.mp3",0.041252,0.037274,2.381697,0.567073,0.034582,0.033027,-0.642412,3.862883,777.506005,117.339041,30.300318,0.194128,0.071139,1136.883008,384.079189,0.416396,0.44632,0.342239,6.948247,156.99908,48.336207,55.79981,3.390865,0.638598,0.063843,-0.001904,0.090686,0.694907,0.956934,1.424308,1.547277,1.432093,1.71711
"Funk_HIGH_01.mp3",0.069083,0.046626,1.072095,0.432225,0.033854,0.035613,0.072353,2.416901,1633.992387,124.842052,18.258105,0.193682,0.114535,2615.862661,696.260076,4.186269,0.322448,0.223974,16.554992,561.762779,356.703029,66.073915,4.796874,0.508975,0.19861,-0.041161,0.081023,0.539648,0.996535,0.818609,1.029544,0.629881,0.832053
"Funk_HIGH_02.mp3",0.163855,0.097282,-0.262925,0.50253,0.038463,0.033354,0.00777,4.077212,3739.058365,111.383348,2.355574,0.550894,0.081826,1679.515346,965.762333,4.504608,0.244888,0.196734,49.577312,144.932708,96.913742,56.342849,2.06175,0.645163,0.063544,-0.02472,0.069684,0.31784,0.993977,1.3336,1.953353,1.365507,1.882665
"Funk_HIGH_03.mp3",0.14605,0.120504,1.031896,0.56213,0.036293,0.028057,-0.512747,2.836208,4099.056685,121.861841,2.819823,0.63108,0.043868,1851.437588,968.353517,3.365083,0.34918,0.307143,50.336733,304.445195,296.559318,57.785709,3.830368,0.302837,0.091344,0.040085,0.040561,0.501892,0.994767,1.002976,2.010172,0.853694,1.295039
"Funk_HIGH_04.mp3",0.136501,0.058128,-1.350626,0.269231,0.048075,0.047296,-0.538304,3.771637,2684.115164,132.538724,16.336789,0.536571,0.089335,2556.756675,461.961502,17.534782,0.557601,0.31208,22.126138,787.619158,329.681721,66.927452,3.054473,0.644876,0.104614,-0.012101,0.096432,0.633762,0.994153,1.275759,1.106309,1.263822,1.583573
"Funk_HIGH_05.mp3",0.265641,0.094505,-0.58598,0.274099,0.044001,0.048951,0.474925,2.276717,1629.730621,169.346951,11.143015,0.323584,0.108345,2721.115481,870.126681,19.609994,0.594463,0.317972,32.326848,486.319405,381.345146,62.854907,3.131526,0.594699,0.142886,0.013932,0.152028,0.632678,0.993021,1.461664,1.657712,0.835595,1.486623
"Funk_HIGH_06.mp3",0.051278,0.021132,-0.489048,0.326032,0.029805,0.019704,0.044803,4.273614,1988.176916,102.606241,18.833074,0.401099,0.093277,1671.3254,615.559062,3.461918,0.456698,0.242505,5.843104,392.859935,333.994341,61.752,3.661286,0.663873,0.119547,-0.058982,0.115326,1.595114,0.989056,0.903032,0.897874,0.82101,0.940466
"Funk_HIGH_07.mp3",0.160757,0.114085,-2.418843,0.503436,0.034054,0.036895,-0.359649,4.185832,2498.694964,159.898381,15.717329,0.455533,0.080338,1821.058738,880.520908,4.600281,0.431815,0.338292,37.387652,404.708917,270.056858,61.771476,3.019656,0.50772,0.122705,0.009088,0.11145,0.89382,0.993053,0.998384,0.774997,1.14049,1.25104
"Funk_LOW_08.mp3",0.167725,0.045719,0.2813,0.158073,0.033279,0.034137,-0.564846,4.053098,1278.64411,139.248557,21.125665,0.37592,0.10385,1908.520825,660.770097,7.766407,0.488728,0.253707,24.49251,473.925705,251.631912,63.469666,3.191606,0.477927,0.098606,-0.005619,0.088156,0.753726,0.996102,0.893483,1.528533,1.391354,2.176544
