index,filename,ed,lo,lo2,lo3,lo4,ph,rm
29,80s_L_08_new-clip_80s_LOW_是否.mp3,1.997577019457547,-28.73215,-29.26893612853914,-30.244926930798968,0.030743524,616.3344714468546,0.3581935330614093
30,Ele_H_06_new-clip_Electronic_HIGH_The_Other_Side_Of_Paradise.mp3,1.8589815647482015,-30.965805,-12.357984594517749,-12.465629434634256,0.2380776,436.7360148069428,-0.19964481052586067
31,Met_H_07_new-clip_Metal_HIGH_What_Ive_Done.mp3,3.359790558510638,-34.882263,-17.04491389859459,-20.833833737344175,0.09084652,346.4424778324438,-0.17953286964492693
32,Pop_L_03_new-clip_Pop_MED_You_Belong_to_Me.mp3,2.0811513542478566,-17.729006,-11.455016494348817,-11.103394057796807,0.27850327,294.7939784705543,-0.35855802049143315
33,Ele_L_10_new-clip_Electronic_LOW_Tape.mp3,7.930643575174825,-20.908148,-17.675839741962992,-18.233882904225574,0.122547895,437.7542928495571,-0.13932963075440874
34,"Cla_L_07_new-clip_Classical_LOW_Sonata_No._2_for_Violin,_Piano_and_Drums.mp3",1.5578683932877815,-21.721004,-25.84240782056019,-26.831404582062216,0.045543853,492.206015834765,-0.4352489056438843
35,Fun_L_01_new-clip_Funk_LOW_Make_Some_Noise.mp3,4.162302708495713,-12.587783,-16.583903568353463,-15.842540195583027,0.16138865,261.5993518319439,-0.23876070536482427
36,Fil_H_07_new-clip_Film_HIGH_Star_Wars_-Main_Theme-.mp3,2.2990645853193517,-18.284061,-18.706117288300145,-19.836441052235607,0.10190088,409.79603618716004,-0.03981662794594387
37,Jaz_L_03_new-clip_Jazz_LOW_Ainda_Mais_Amor.mp3,7.105119163424124,-10.320606,-13.944410517379861,-12.570383573011402,0.23522356,282.9673923428896,-0.10524672251321046
38,Cla_L_11_new-clip_Classical_MED_Elf_kurze_Stücke-_No._4_in_A_Minor.mp3,1.9304420079462101,-27.547846,-32.97252980832321,-33.80048902294147,0.02041623,389.40017448748046,-0.2741704579982835
39,Pop_H_11_new-clip_Pop_HIGH_ocean_eyes.mp3,2.4427720716783217,-6.249359,-12.066524346359417,-10.269330269165813,0.3065727,237.393986884414,-0.3479251166197278
40,Met_L_05_new-clip_Metal_LOW_Under_the_Knife.mp3,6.8035396919431275,-12.289564,-12.376458874626206,-11.634364629728559,0.26198822,262.45637058958016,-0.14720160742758798
41,60s_L_09_new-clip_60s_MED_Amore_sto_dicendo_a_te_-_Toy.mp3,5.349864130434782,-13.973486,-15.977217961850908,-17.42221307552291,0.13455175,432.2059001773343,0.2870956069442814
42,Jaz_H_07_new-clip_Jazz_HIGH_Feeling_Good.mp3,2.9878607206937797,-14.703373,-14.62810935792293,-15.220007964342777,0.17338024,425.98508558330747,-0.021372227718936477
43,Fil_H_10_new-clip_Film_HIGH_Main_Theme_-From__The_Dark_Knight_Rises_-.mp3,6.439836448598131,-23.950592,-28.367823351883235,-29.661807463096586,0.03287832,304.08752538429246,-0.3734123313207537
44,Ele_H_03_new-clip_Electronic_HIGH_One_More_Time.mp3,4.762637867647059,-15.835972,-16.32621486717878,-15.059158099925636,0.1766209,256.5451956663896,-0.03820067453220534
45,Fil_L_05_new-clip_Film_LOW_Main_Titles.mp3,7.414735038325471,-32.033337,-25.893806154336165,-25.194776189618736,0.054987147,184.1917250776935,-0.08464499723311669
46,Met_H_11_new-clip_Metal_HIGH_Killing_In_The_Name.mp3,3.071350288989028,-23.867956,-15.649671655601388,-15.641317122086463,0.16517113,225.43729286302448,0.055863475104693215
